item_id,movie_title,true_rating,collaborative_prediction,content_prediction
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),5.0,3.116686991773108,3.5564593425343243
10,Richard III (1995),3.0,3.6383005730204236,3.164252391466522
12,"Usual Suspects, The (1995)",5.0,5.0,2.0448114993286657
14,"Postino, Il (1994)",5.0,4.153376991137542,3.5291072007558975
17,From Dusk Till Dawn (1996),3.0,3.091140164365796,3.139723012496731
20,Angels and Insects (1995),4.0,3.6934847343115416,3.5291072007558975
23,Taxi Driver (1976),4.0,4.584432484471067,3.5456915102690507
24,Rumble in the Bronx (1995),3.0,3.729150599345421,2.1780697852647135
27,Bad Boys (1995),2.0,3.151086398631594,2.1140533832144994
31,Crimson Tide (1995),3.0,3.764432655014723,3.369680602543964
33,Desperado (1995),4.0,3.7289691092652433,2.834809837969755
36,Mad Love (1995),2.0,2.128854904893566,3.5291072007558975
39,Strange Days (1995),4.0,3.6642515958591306,2.428578877533647
44,Dolores Claiborne (1994),5.0,3.1825950721882035,3.5456915102690507
47,Ed Wood (1994),4.0,3.6487707480696683,4.250524664578071
49,I.Q. (1994),3.0,3.5421239329833054,3.164252391466522
51,Legends of the Fall (1994),4.0,3.5671671123325357,3.063930478376335
53,Natural Born Killers (1994),3.0,2.811709722944573,2.525756475210115
54,Outbreak (1995),3.0,3.2150063595152627,3.7217474349219244
56,Pulp Fiction (1994),4.0,4.217281065632109,3.114499462927062
60,Three Colors: Blue (1993),5.0,4.182449415126199,3.5564593425343243
61,Three Colors: White (1994),4.0,3.8713401890145342,3.5564593425343243
62,Stargate (1994),3.0,3.444316464108192,2.4624314575699895
64,"Shawshank Redemption, The (1994)",5.0,4.7364038527353,3.5564593425343243
65,What's Eating Gilbert Grape (1993),4.0,3.44626023899413,4.250524664578071
67,Ace Ventura: Pet Detective (1994),3.0,3.391832228233059,3.0404767229402405
69,Forrest Gump (1994),3.0,4.006737517467369,3.058236866209614
70,Four Weddings and a Funeral (1994),3.0,4.249205881563697,3.164252391466522
72,"Mask, The (1994)",4.0,3.2759484070220473,2.448890425555452
73,Maverick (1994),3.0,3.591686619704114,2.8483508699842917
74,Faster Pussycat! Kill! Kill! (1965),1.0,2.8484844850067104,4.297241295539744
76,Carlito's Way (1993),4.0,3.6958392257370885,3.114499462927062
78,Free Willy (1993),1.0,2.028416319569369,2.976990674122393
80,Hot Shots! Part Deux (1993),4.0,2.8456834325629186,3.1124009942677624
81,"Hudsucker Proxy, The (1994)",5.0,3.717528602555511,3.164252391466522
82,Jurassic Park (1993),5.0,3.6199024294380795,2.4624314575699895
84,Robert A. Heinlein's The Puppet Masters (1994),4.0,2.9802749079660833,1.7628782376050576
85,"Ref, The (1994)",3.0,3.1733021997686817,3.0404767229402405
86,"Remains of the Day, The (1993)",5.0,3.2150417930070216,3.5564593425343243
90,So I Married an Axe Murderer (1993),4.0,3.7333633889603726,3.369680602543964
91,"Nightmare Before Christmas, The (1993)",5.0,3.6838149284132773,2.4827430055917947
92,True Romance (1993),3.0,4.057508051112304,2.4827430055917947
96,Terminator 2: Judgment Day (1991),5.0,3.9468395776029226,2.780645709911607
97,Dances with Wolves (1990),3.0,3.887922153056361,2.787416225918876
98,"Silence of the Lambs, The (1991)",4.0,4.7239271124582505,3.5456915102690507
100,Fargo (1996),5.0,4.573898892047762,3.329057506500353
102,"Aristocats, The (1970)",2.0,3.1715508976486695,1.4726528211248726
103,All Dogs Go to Heaven 2 (1996),1.0,2.3825869225735192,1.4739361205087929
104,Theodore Rex (1995),1.0,2.3553778835684565,3.0404767229402405
107,Moll Flanders (1996),4.0,3.645293597950788,3.5564593425343243
108,Kids in the Hall: Brain Candy (1996),5.0,3.4552059136929203,3.0404767229402405
112,Flipper (1996),1.0,2.38257899406904,1.613619451986677
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",5.0,3.7922209417849624,3.5564593425343243
114,Wallace & Gromit: The Best of Aardman Animation (1996),5.0,4.782844361815083,1.2931719429511839
117,"Rock, The (1996)",3.0,4.106573817218064,2.5301366176426736
118,Twister (1996),3.0,3.4769904341284343,2.5301366176426736
120,Striptease (1996),1.0,2.191792173866582,2.7496446536376866
121,Independence Day (ID4) (1996),4.0,3.07477310157023,2.469201973577258
125,Phenomenon (1996),3.0,3.7423493637371537,3.5291072007558975
128,Supercop (1992),4.0,4.0412950546285,2.525756475210115
129,Bound (1996),5.0,4.264824438627826,3.527142148239206
130,Kansas City (1996),3.0,2.9579823542323016,1.4338944755677523
132,"Wizard of Oz, The (1939)",4.0,4.038959550020425,2.788348852002222
134,Citizen Kane (1941),4.0,4.843983836344253,3.5564593425343243
140,Homeward Bound: The Incredible Journey (1993),1.0,3.0194559003345365,1.613619451986677
143,"Sound of Music, The (1965)",1.0,3.6737990971935015,1.1524494103346157
145,"Lawnmower Man, The (1992)",2.0,2.6755735904045,2.780645709911607
148,"Ghost and the Darkness, The (1996)",2.0,2.9363102585059355,2.1360252016510097
150,Swingers (1996),5.0,4.388805695992716,4.250524664578071
151,Willy Wonka and the Chocolate Factory (1971),4.0,4.411412319737346,2.6790879698025805
154,Monty Python's Life of Brian (1979),5.0,3.9684777737093118,3.0404767229402405
155,Dirty Dancing (1987),2.0,2.589063164104213,1.8292154756576715
157,Platoon (1986),4.0,4.283826470758661,3.164252391466522
159,Basic Instinct (1992),3.0,2.9567216528967775,1.8540919399274014
160,Glengarry Glen Ross (1992),4.0,3.6342252030302102,3.5564593425343243
161,Top Gun (1986),4.0,3.618009154142693,2.509172165696962
163,"Return of the Pink Panther, The (1974)",4.0,3.7251028342550203,3.0404767229402405
164,"Abyss, The (1989)",3.0,4.094329375639467,2.7883488520022226
170,Cinema Paradiso (1988),5.0,4.688443406455842,4.243077167481596
171,Delicatessen (1991),5.0,4.484616336268002,3.0979151534139087
174,Raiders of the Lost Ark (1981),5.0,4.563091316099852,2.1360252016510097
